frequency_GHz,baseline_real,baseline_imag,baseline_magnitude_dB,baseline_phase_deg,selected_real,selected_imag,selected_magnitude_dB,selected_phase_deg
5.876250000000001,0.9993932891408095,0.0348289193101675,-9.643274665532871e-16,1.9959537534090124,0.9557676628215829,0.2941227204834204,-3.857309866213149e-15,17.104939314972576
5.8775,0.9993907483501927,0.03490174941232392,-4.821637332766436e-15,2.0001291494447564,0.9450202060063606,0.3270119420444712,3.857309866213148e-15,19.08751253345275
5.87875,0.99938817900492,0.03497524360499754,-3.857309866213149e-15,2.0043426289840807,0.9295943113525247,0.3685843408244919,-9.643274665532871e-16,21.628336380654833
5.880000000000001,0.999385580617085,0.03504941161634118,0.0,2.0085947500682813,0.9063234054179174,0.42258476639802023,0.0,24.997882479594708
5.8812500000000005,0.9993829526878251,0.035124263365436004,0.0,2.012886081694569,0.8688860642934941,0.4950121284136002,1.928654933106574e-15,29.67055010181047
5.8825,0.999380294707018,0.035199808966998335,-3.857309866213149e-15,2.017217204086258,0.8033027178901819,0.595570939041057,-1.9286549331065743e-15,36.55334375765871
5.88375,0.9993776061529687,0.03527605873622667,-9.643274665532871e-16,2.0215887089709974,0.6744853877320263,0.7382881969366558,0.0,47.585799651967115
5.885000000000001,0.9993748864920801,0.03535302319379324,-4.821637332766436e-15,2.0260011998673204,0.38219651816501127,0.924081068685287,0.0,67.53019342293965
5.88625,0.9993721351785231,0.03543071307098563,-5.785964799319725e-15,2.03045529237979,-0.32894821850040856,0.9443479599943062,1.928654933106574e-15,109.20494907340614
5.8875,0.9993693516538855,0.03550913931500292,-9.643274665532871e-16,2.0349516145030355,-0.9847243309575854,-0.17412062491312166,0.0,-169.97251201648305
5.88875,0.9993665353468136,0.03558831309441359,0.0,2.0394908069350737,-0.1054383636040917,-0.9944258401110118,0.0,-96.05242314263823
5.890000000000001,0.9993636856726434,0.03566824580477903,0.0,2.044073523400134,0.4970628564584863,-0.8677145364285016,-3.857309866213149e-15,-60.19413034660631
5.89125,0.9993608020330157,0.03574894907444913,0.0,2.048700430981376,0.7361659222646109,-0.6768011043846597,0.0,-42.594172962879036
5.8925,0.9993578838154803,0.0358304347705371,3.857309866213148e-15,2.053372210463897,0.8424608393725791,-0.5387575838200799,3.857309866213148e-15,-32.59910218250898
5.893750000000001,0.9993549303930831,0.03591271500507879,0.0,2.058089556688337,0.8969029624763031,-0.44222740292889057,0.0,-26.24608479136837
5.8950000000000005,0.9993519411239453,0.035995802141383475,-3.857309866213149e-15,2.062853178915474,0.9279926229053932,-0.3725985666010642,-4.821637332766436e-15,-21.875967145868135
5.89625,0.9993489153508224,0.036079708800583844,0.0,2.067663801202271,0.9472427952119887,-0.32051690582398046,0.0,-18.694188030947238
5.8975,0.9993458524006463,0.03616444786839139,0.0,2.072522162789716,0.9599156320648863,-0.28028909953380066,-4.821637332766436e-15,-16.277459823843238
5.898750000000001,0.9993427515840595,0.0362500325020657,0.0,2.0774290185029454,0.96866556419921,-0.24836872736845467,-1.9286549331065743e-15,-14.381002851648475
5.9,0.9993396121949237,0.036336476137604615,-2.892982399659862e-15,2.0823851391640544,0.9749405095778634,-0.22246573395481645,-3.857309866213149e-15,-12.853898815566716
5.90125,0.9993364335098177,0.03642379249716511,-4.821637332766436e-15,2.0873913120181617,0.9795814852781944,-0.20104754089559868,3.857309866213148e-15,-11.598223051688107
5.902500000000001,0.9993332147875122,0.03651199559672136,-3.857309866213149e-15,2.0924483411730996,0.9831027194818984,-0.18305475395983328,-2.892982399659862e-15,-10.547741397896301
5.9037500000000005,0.9993299552684289,0.03660109975397057,1.928654933106574e-15,2.097557048053332,0.9858323128185114,-0.1677338695758965,-3.857309866213149e-15,-9.656087500887292
5.905,0.9993266541740767,0.03669111959649557,-3.857309866213149e-15,2.1027182718686297,0.9879872528294708,-0.15453539480156445,0.0,-8.889851677547476
5.90625,0.9993233107064762,0.036782070070193906,3.857309866213148e-15,2.1079328700980327,0.9897154996587035,-0.14304974566674938,-4.821637332766436e-15,-8.224360545297595
